,eo_code,be_code,be_description,eo_class_code,eo_class_description,eo_model_id,eo_model_name,eo_category_spec,eo_description,operation_status_rus,sap_user_status,sap_system_status,operation_start_date,expected_operation_period_years,operation_finish_date_calc,sap_planned_finish_operation_date,operation_finish_date_sap_upd,operation_finish_date_update_iteration,operation_finish_date,iteration_name,year,in_operation,add_new
850,100000103170,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 Caterpillar,,НОВ,ДОСТ,2024-02-29,8,2032-02-29 00:00:00,,2032-02-29 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
851,100000103171,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 Caterpillar,,НОВ,ДОСТ,2024-01-31,8,2032-01-31 00:00:00,,2032-01-31 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
852,100000103211,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 №1,,ВЗКП,УСТН,2024-02-01,8,2032-02-01 00:00:00,,2032-02-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
853,100000103214,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 №2,,ВЗКП,УСТН,2024-02-01,8,2032-02-01 00:00:00,,2032-02-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
854,100000103215,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 №3,,ВЗКП,УСТН,2024-03-01,8,2032-03-01 00:00:00,,2032-03-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
855,100000103216,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 №4,,ВЗКП,УСТН,2024-03-01,8,2032-03-01 00:00:00,,2032-03-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
856,100000103217,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 №5,,ВЗКП,УСТН,2024-04-01,8,2032-04-01 00:00:00,,2032-04-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
857,100000103218,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 №6,,ВЗКП,УСТН,2024-05-01,8,2032-05-01 00:00:00,,2032-05-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
858,ARD8oQJ9b6E3A7RQCxEX7X,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,145.0,Самосвалы NTE240,Автосамосвалы в классе 218-250 тонн,Самосвал карьерный NTE240,,,,2024-02-29,12,2036-02-29 00:00:00,,2036-02-29 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
859,NFGxQVRKq2aouSsHTshRcV,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,145.0,Самосвалы NTE240,Автосамосвалы в классе 218-250 тонн,Самосвал карьерный NTE240,,,,2024-02-29,12,2036-02-29 00:00:00,,2036-02-29 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
